household_id,home_zone
h0001,z002
h0002,z012
h0003,z015
h0004,z007
h0005,z022
h0006,z030
h0007,z003
h0008,z015
h0009,z021
h0010,z009
h0011,z012
h0012,z025
h0013,z015
h0014,z015
h0015,z026
h0016,z001
h0017,z008
h0018,z022
h0019,z021
h0020,z021
h0021,z036
h0022,z001
h0023,z025
h0024,z025
h0025,z021
h0026,z021
h0027,z001
h0028,z002
h0029,z020
h0030,z002
h0031,z020
h0032,z035
h0033,z001
h0034,z017
h0035,z015
h0036,z017
h0037,z007
h0038,z022
h0039,z008
h0040,z002
h0041,z002
h0042,z036
h0043,z022
h0044,z001
h0045,z019
h0046,z011
h0047,z025
h0048,z001
h0049,z025
h0050,z016
h0051,z015
h0052,z022
h0053,z022
h0054,z029
h0055,z029
h0056,z020
h0057,z032
h0058,z024
h0059,z004
h0060,z025
h0061,z021
h0062,z002
h0063,z015
h0064,z021
h0065,z022
h0066,z034
h0067,z026
h0068,z007
h0069,z036
h0070,z023
h0071,z019
h0072,z030
h0073,z030
h0074,z001
h0075,z030
h0076,z032
h0077,z034
h0078,z030
h0079,z009
h0080,z005
h0081,z019
h0082,z034
h0083,z028
h0084,z002
h0085,z021
h0086,z033
h0087,z029
h0088,z035
h0089,z001
h0090,z034
h0091,z007
h0092,z021
h0093,z006
h0094,z007
h0095,z021
h0096,z012
h0097,z021
h0098,z007
h0099,z035
h0100,z030
h0101,z010
h0102,z036
h0103,z009
h0104,z022
h0105,z007
h0106,z005
h0107,z007
h0108,z001
h0109,z013
h0110,z001
h0111,z002
h0112,z034
h0113,z028
h0114,z018
h0115,z026
h0116,z018
h0117,z018
h0118,z024
h0119,z032
h0120,z028
h0121,z002
h0122,z032
h0123,z011
h0124,z002
h0125,z001
h0126,z007
h0127,z007
h0128,z022
h0129,z028
h0130,z035
h0131,z014
h0132,z005
h0133,z004
h0134,z003
h0135,z022
h0136,z014
h0137,z025
h0138,z005
h0139,z012
h0140,z025
h0141,z021
h0142,z032
h0143,z025
h0144,z007
h0145,z031
h0146,z007
h0147,z032
h0148,z007
h0149,z010
h0150,z001
h0151,z009
h0152,z019
h0153,z021
h0154,z035
h0155,z024
h0156,z007
h0157,z003
h0158,z002
h0159,z022
h0160,z019
h0161,z019
h0162,z022
h0163,z030
h0164,z030
h0165,z025
h0166,z025
h0167,z019
h0168,z029
h0169,z035
h0170,z035
h0171,z028
h0172,z025
h0173,z021
h0174,z007
h0175,z006
h0176,z009
h0177,z027
h0178,z032
h0179,z024
h0180,z015
h0181,z035
h0182,z004
h0183,z019
h0184,z031
h0185,z032
h0186,z004
h0187,z036
h0188,z020
h0189,z017
h0190,z031
h0191,z018
h0192,z035
h0193,z029
h0194,z001
h0195,z007
h0196,z007
h0197,z015
h0198,z001
h0199,z032
h0200,z030
h0201,z001
h0202,z025
h0203,z025
h0204,z032
h0205,z018
h0206,z024
h0207,z020
h0208,z019
h0209,z015
h0210,z002
h0211,z035
h0212,z031
h0213,z035
h0214,z019
h0215,z024
h0216,z022
h0217,z022
h0218,z015
h0219,z026
h0220,z005
h0221,z035
h0222,z019
h0223,z019
h0224,z022
h0225,z001
h0226,z028
h0227,z018
h0228,z011
h0229,z002
h0230,z007
h0231,z023
h0232,z019
h0233,z001
h0234,z015
h0235,z002
h0236,z001
h0237,z033
h0238,z017
h0239,z031
h0240,z015
h0241,z035
h0242,z007
h0243,z007
h0244,z015
h0245,z017
h0246,z010
h0247,z016
h0248,z006
h0249,z015
h0250,z021
h0251,z018
h0252,z030
h0253,z030
h0254,z022
h0255,z018
h0256,z005
h0257,z035
h0258,z019
h0259,z019
h0260,z001
h0261,z026
h0262,z011
h0263,z035
h0264,z007
h0265,z002
h0266,z030
h0267,z021
h0268,z017
h0269,z030
h0270,z024
h0271,z012
h0272,z022
h0273,z015
h0274,z024
h0275,z028
h0276,z016
h0277,z029
h0278,z001
h0279,z029
h0280,z012
h0281,z018
h0282,z028
h0283,z003
h0284,z026
h0285,z015
h0286,z015
h0287,z008
h0288,z021
h0289,z029
h0290,z012
h0291,z019
h0292,z022
h0293,z006
h0294,z016
h0295,z008
h0296,z019
h0297,z007
h0298,z021
h0299,z001
h0300,z006
h0301,z001
h0302,z011
h0303,z001
h0304,z001
h0305,z022
h0306,z008
h0307,z004
h0308,z019
h0309,z003
h0310,z005
h0311,z035
h0312,z001
h0313,z007
h0314,z001
h0315,z014
h0316,z001
h0317,z035
h0318,z008
h0319,z011
h0320,z001
h0321,z015
h0322,z007
h0323,z025
h0324,z018
h0325,z025
h0326,z021
h0327,z030
h0328,z016
h0329,z011
h0330,z007
h0331,z022
h0332,z004
h0333,z001
h0334,z035
h0335,z022
h0336,z021
h0337,z015
h0338,z001
h0339,z032
h0340,z030
h0341,z018
h0342,z021
h0343,z031
h0344,z030
h0345,z008
h0346,z012
h0347,z034
h0348,z004
h0349,z024
h0350,z004
h0351,z005
h0352,z018
h0353,z031
h0354,z013
h0355,z020
h0356,z024
h0357,z032
h0358,z012
h0359,z002
h0360,z002
h0361,z009
h0362,z032
h0363,z024
h0364,z026
h0365,z022
h0366,z035
h0367,z018
h0368,z007
h0369,z007
h0370,z030
h0371,z004
h0372,z016
h0373,z035
h0374,z008
h0375,z007
h0376,z017
h0377,z007
h0378,z021
h0379,z002
h0380,z022
h0381,z030
h0382,z026
h0383,z012
h0384,z020
h0385,z036
h0386,z022
h0387,z014
h0388,z036
h0389,z007
h0390,z004
h0391,z026
h0392,z002
h0393,z035
h0394,z001
h0395,z005
h0396,z001
h0397,z001
h0398,z034
h0399,z020
h0400,z015
h0401,z002
h0402,z020
h0403,z001
h0404,z024
h0405,z018
h0406,z002
h0407,z015
h0408,z002
h0409,z028
h0410,z002
h0411,z028
h0412,z007
h0413,z002
h0414,z005
h0415,z006
h0416,z015
h0417,z016
h0418,z015
h0419,z014
h0420,z006
h0421,z020
h0422,z007
h0423,z015
h0424,z015
h0425,z007
h0426,z015
h0427,z030
h0428,z025
h0429,z001
h0430,z035
h0431,z003
h0432,z021
h0433,z014
h0434,z001
h0435,z036
h0436,z015
h0437,z001
h0438,z024
h0439,z007
h0440,z007
h0441,z036
h0442,z022
h0443,z024
h0444,z025
h0445,z015
h0446,z007
h0447,z010
h0448,z008
h0449,z015
h0450,z002
h0451,z034
h0452,z013
h0453,z001
h0454,z028
h0455,z001
h0456,z030
h0457,z035
h0458,z015
h0459,z032
h0460,z035
h0461,z015
h0462,z025
h0463,z007
h0464,z005
h0465,z013
h0466,z023
h0467,z015
h0468,z021
h0469,z010
h0470,z015
