household_id,person_id,gender,age_group_years,education_level,employment_status,monthly_income_eur_band,owns_car
h0001,p0001,male,18_to_30,masters_or_doctoral_degree,employed,750_to_1500_eur,false
h0002,p0002,female,18_to_30,secondary_school,student,no_income,true
h0003,p0003,female,18_to_30,bachelors_degree,employed,750_to_1500_eur,true
h0004,p0004,female,18_to_30,masters_or_doctoral_degree,employed,750_to_1500_eur,false
h0005,p0005,male,18_to_30,masters_or_doctoral_degree,employed,1500_to_2500_eur,true
h0006,p0006,male,18_to_30,secondary_school,student,no_income,true
h0007,p0007,male,18_to_30,bachelors_degree,student,no_income,true
h0008,p0008,female,18_to_30,bachelors_degree,student,up_to_750_eur,true
h0009,p0009,male,18_to_30,bachelors_degree,student,,false
h0010,p0010,female,18_to_30,bachelors_degree,student,2500_eur_or_more,true
h0011,p0011,male,18_to_30,secondary_school,student,up_to_750_eur,true
h0012,p0012,male,18_to_30,bachelors_degree,student,no_income,true
h0013,p0013,male,18_to_30,bachelors_degree,student,up_to_750_eur,true
h0014,p0014,female,51_to_65,bachelors_degree,employed,750_to_1500_eur,true
h0015,p0015,female,51_to_65,secondary_school,employed,up_to_750_eur,true
h0016,p0016,female,18_to_30,bachelors_degree,employed,up_to_750_eur,true
h0017,p0017,male,18_to_30,bachelors_degree,unemployed,up_to_750_eur,true
h0018,p0018,female,31_to_40,bachelors_degree,employed,750_to_1500_eur,true
h0019,p0019,male,18_to_30,secondary_school,student,,false
h0020,p0020,female,51_to_65,bachelors_degree,employed,1500_to_2500_eur,false
h0021,p0021,male,18_to_30,secondary_school,student,up_to_750_eur,true
h0022,p0022,male,18_to_30,bachelors_degree,student,no_income,true
h0023,p0023,male,18_to_30,bachelors_degree,employed,750_to_1500_eur,true
h0024,p0024,male,18_to_30,bachelors_degree,student,up_to_750_eur,true
h0025,p0025,male,18_to_30,secondary_school,student,no_income,false
h0026,p0026,male,18_to_30,bachelors_degree,student,no_income,true
h0027,p0027,female,41_to_50,secondary_school,employed,750_to_1500_eur,false
h0028,p0028,female,18_to_30,bachelors_degree,employed,750_to_1500_eur,false
h0029,p0029,female,18_to_30,bachelors_degree,employed,up_to_750_eur,true
h0030,p0030,male,18_to_30,secondary_school,student,no_income,true
h0031,p0031,male,18_to_30,masters_or_doctoral_degree,employed,1500_to_2500_eur,true
h0032,p0032,female,18_to_30,bachelors_degree,employed,up_to_750_eur,true
h0033,p0033,female,18_to_30,bachelors_degree,employed,750_to_1500_eur,true
h0034,p0034,female,18_to_30,bachelors_degree,employed,750_to_1500_eur,true
h0035,p0035,male,18_to_30,secondary_school,student,up_to_750_eur,true
h0036,p0036,male,18_to_30,secondary_school,student,750_to_1500_eur,true
h0037,p0037,male,31_to_40,masters_or_doctoral_degree,employed,750_to_1500_eur,true
h0038,p0038,male,41_to_50,masters_or_doctoral_degree,employed,2500_eur_or_more,true
h0039,p0039,male,18_to_30,bachelors_degree,student,no_income,false
h0040,p0040,female,18_to_30,bachelors_degree,employed,750_to_1500_eur,false
h0041,p0041,male,18_to_30,masters_or_doctoral_degree,employed,750_to_1500_eur,true
h0042,p0042,female,18_to_30,bachelors_degree,employed,up_to_750_eur,true
h0043,p0043,female,51_to_65,bachelors_degree,not_in_labor_force,up_to_750_eur,true
h0044,p0044,female,18_to_30,bachelors_degree,employed,750_to_1500_eur,true
h0045,p0045,female,18_to_30,masters_or_doctoral_degree,employed,750_to_1500_eur,true
h0046,p0046,female,18_to_30,bachelors_degree,student,no_income,true
h0047,p0047,male,18_to_30,bachelors_degree,student,no_income,true
h0048,p0048,male,31_to_40,bachelors_degree,employed,750_to_1500_eur,true
h0049,p0049,female,18_to_30,masters_or_doctoral_degree,employed,750_to_1500_eur,false
h0050,p0050,female,18_to_30,masters_or_doctoral_degree,employed,1500_to_2500_eur,true
h0051,p0051,female,18_to_30,masters_or_doctoral_degree,student,no_income,true
h0052,p0052,female,18_to_30,masters_or_doctoral_degree,employed,,true
