household_id,person_id,trip_id,trip_sequence,origin,destination,purpose,mode,earliest_departure_second,latest_departure_second
h0001,p0001,p0001_t01,1,z002,z015,work,train,32400,35999
h0001,p0001,p0001_t02,2,z015,z002,work,walk,64800,68399
h0001,p0001,p0001_t03,3,z002,z001,recreation,escooter,79200,82799
h0001,p0001,p0001_t04,4,z001,z002,home,escooter,93600,97199
h0002,p0002,p0002_t01,1,z012,z012,education,car,39600,43199
h0002,p0002,p0002_t02,2,z012,z022,recreation,car,61200,64799
h0002,p0002,p0002_t03,3,z022,z010,service,car,75600,79199
h0003,p0003,p0003_t01,1,z015,z015,work,walk,46800,50399
h0003,p0003,p0003_t02,2,z015,z015,recreation,walk,50400,53999
h0004,p0004,p0004_t01,1,z007,z030,work,train,39600,43199
h0004,p0004,p0004_t02,2,z030,z023,work,train,57600,61199
h0004,p0004,p0004_t03,3,z023,z007,home,train,75600,79199
h0005,p0005,p0005_t01,1,z022,z035,recreation,car,68400,71999
h0005,p0005,p0005_t02,2,z035,z022,home,car,72000,75599
h0006,p0006,p0006_t01,1,z030,z026,other,car,39600,43199
h0006,p0006,p0006_t02,2,z026,z030,home,car,54000,57599
h0007,p0007,p0007_t01,1,z003,z021,education,train,36000,39599
h0007,p0007,p0007_t02,2,z021,z015,education,car,36000,39599
h0007,p0007,p0007_t03,3,z015,z003,home,train,57600,61199
h0008,p0008,p0008_t01,1,z015,z015,work,walk,54000,57599
h0008,p0008,p0008_t02,2,z015,z015,work,walk,64800,68399
h0009,p0009,p0009_t01,1,z021,z021,recreation,walk,61200,64799
h0009,p0009,p0009_t02,2,z021,z021,home,walk,75600,79199
h0010,p0010,p0010_t01,1,z009,z009,recreation,walk,14400,17999
h0010,p0010,p0010_t02,2,z009,z009,recreation,walk,79200,82799
h0011,p0011,p0011_t01,1,z012,z022,work,train,46800,50399
h0011,p0011,p0011_t02,2,z022,z018,work,train,64800,68399
h0012,p0012,p0012_t01,1,z025,z025,education,train,50400,53999
h0012,p0012,p0012_t02,2,z025,z025,recreation,walk,64800,68399
h0013,p0013,p0013_t01,1,z015,z015,education,bus,32400,35999
h0013,p0013,p0013_t02,2,z015,z025,market,walk,64800,68399
h0014,p0014,p0014_t01,1,z015,z001,work,walk,36000,39599
h0014,p0014,p0014_t02,2,z001,z015,home,walk,64800,68399
h0014,p0014,p0014_t03,3,z015,z015,recreation,walk,75600,79199
h0015,p0015,p0015_t01,1,z026,z021,work,train,32400,35999
h0015,p0015,p0015_t02,2,z021,z026,home,train,61200,64799
h0016,p0016,p0016_t01,1,z001,z001,work,bus,36000,39599
h0016,p0016,p0016_t02,2,z001,z001,home,bus,54000,57599
