pid,ozone,dzone,purp,mode,min_time,max_time
101,2.0,15.0,work,train,8.0,11.0
101,15.0,2.0,work,walk,17.0,20.0
101,2.0,1.0,recreation,escooter,20.0,23.0
101,1.0,2.0,home,escooter,23.0,29.0
102,12.0,12.0,education,car,11.0,14.0
102,12.0,22.0,recreation,car,17.0,20.0
102,22.0,10.0,service,car,20.0,23.0
103,15.0,15.0,work,walk,11.0,14.0
103,15.0,15.0,recreation,walk,14.0,17.0
104,7.0,30.0,work,train,11.0,14.0
104,30.0,23.0,work,train,14.0,17.0
104,23.0,7.0,home,train,20.0,23.0
105,22.0,35.0,recreation,car,17.0,20.0
105,35.0,22.0,home,car,20.0,23.0
106,30.0,26.0,other,car,11.0,14.0
106,26.0,30.0,home,car,14.0,17.0
107,3.0,21.0,education,train,8.0,11.0
107,21.0,15.0,education,car,8.0,11.0
107,15.0,3.0,home,train,14.0,17.0
108,15.0,15.0,work,walk,14.0,17.0
108,15.0,15.0,work,walk,17.0,20.0
109,21.0,21.0,recreation,walk,17.0,20.0
109,21.0,21.0,home,walk,20.0,23.0
110,9.0,9.0,recreation,walk,0.0,5.0
110,9.0,9.0,recreation,walk,20.0,23.0
111,12.0,22.0,work,train,11.0,14.0
111,22.0,18.0,work,train,17.0,20.0
112,25.0,25.0,education,train,14.0,17.0
112,25.0,25.0,recreation,walk,17.0,20.0
113,15.0,15.0,education,bus,8.0,11.0
113,15.0,25.0,market,walk,17.0,20.0
114,15.0,1.0,work,walk,8.0,11.0
114,1.0,15.0,home,walk,17.0,20.0
114,15.0,15.0,recreation,walk,20.0,23.0
115,26.0,21.0,work,train,8.0,11.0
115,21.0,26.0,home,train,17.0,20.0
116,1.0,1.0,work,bus,8.0,11.0
116,1.0,1.0,home,bus,14.0,17.0
117,8.0,8.0,recreation,walk,20.0,23.0
117,8.0,15.0,other,walk,38.0,41.0
118,22.0,22.0,other,car,5.0,8.0
118,22.0,29.0,work,car,5.0,8.0
118,29.0,22.0,home,car,17.0,20.0
