pid,gender,age,education,employment,income,car_own,home,dest1,purp1,mode1,dest2,purp2,mode2,dest3,purp3,mode3,dest4,purp4,mode4,dest5,purp5,mode5,min_time1,max_time1,min_time2,max_time2,min_time3,max_time3,min_time4,max_time4,min_time5,max_time5
101,1: male,28.0,4: master or phd,4: active,2: 750-1500,0: no,2.0,15,1: work,4: train,2,1: work,7: walk,1.0,5: recreation,8: escooter,2.0,2: return home,8: escooter,,,,8.0,11.0,17.0,20.0,20.0,23.0,23.0,29.0,,
102,0: feamale,28.0,2: high school,3: student,0: no income,1: yes,12.0,12,3: education,1: car,22,5: recreation,1: car,10.0,6: service,1: car,,,,,,,11.0,14.0,17.0,20.0,20.0,23.0,,,,
103,0: feamale,27.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,15,1: work,7: walk,15,5: recreation,7: walk,,,,,,,,,,11.0,14.0,14.0,17.0,,,,,,
104,0: feamale,18.0,4: master or phd,4: active,2: 750-1500,0: no,7.0,30,1: work,4: train,23,1: work,4: train,7.0,2: return home,4: train,,,,,,,11.0,14.0,14.0,17.0,20.0,23.0,,,,
105,1: male,18.0,4: master or phd,4: active,3: 1500-2500,1: yes,22.0,35,5: recreation,1: car,22,2: return home,1: car,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
106,1: male,28.0,2: high school,3: student,0: no income,1: yes,30.0,26,7: other,1: car,30,2: return home,1: car,,,,,,,,,,11.0,14.0,14.0,17.0,,,,,,
107,1: male,23.0,3: bachelor,3: student,0: no income,1: yes,3.0,21,3: education,4: train,15,3: education,1: car,3.0,2: return home,4: train,,,,,,,8.0,11.0,8.0,11.0,14.0,17.0,,,,
108,0: feamale,23.0,3: bachelor,3: student,1: 750 or less,1: yes,15.0,15,1: work,7: walk,15,1: work,7: walk,,,,,,,,,,14.0,17.0,17.0,20.0,,,,,,
109,1: male,23.0,3: bachelor,3: student,,0: no,21.0,21,5: recreation,7: walk,21,2: return home,7: walk,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
110,0: feamale,18.0,3: bachelor,3: student,4: 2500 or more,1: yes,9.0,9,5: recreation,7: walk,9,5: recreation,7: walk,,,,,,,,,,0.0,5.0,20.0,23.0,,,,,,
111,1: male,21.0,2: high school,3: student,1: 750 or less,1: yes,12.0,22,1: work,4: train,18,1: work,4: train,,,,,,,,,,11.0,14.0,17.0,20.0,,,,,,
112,1: male,23.0,3: bachelor,3: student,0: no income,1: yes,25.0,25,3: education,4: train,25,5: recreation,7: walk,,,,,,,,,,14.0,17.0,17.0,20.0,,,,,,
113,1: male,26.0,3: bachelor,3: student,1: 750 or less,1: yes,15.0,15,3: education,3: bus,25,4: market,7: walk,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
114,0: feamale,62.0,3: bachelor,4: active,2: 750-1500,1: yes,15.0,1,1: work,7: walk,15,2: return home,7: walk,15.0,5: recreation,7: walk,,,,,,,8.0,11.0,17.0,20.0,20.0,23.0,,,,
115,0: feamale,64.0,2: high school,4: active,1: 750 or less,1: yes,26.0,21,1: work,4: train,26,2: return home,4: train,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
116,0: feamale,24.0,3: bachelor,4: active,1: 750 or less,1: yes,1.0,1,1: work,3: bus,1,2: return home,3: bus,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
117,1: male,25.0,3: bachelor,2: unemployed,1: 750 or less,1: yes,8.0,8,5: recreation,7: walk,15,7: other,7: walk,,,,,,,,,,20.0,23.0,38.0,41.0,,,,,,
118,0: feamale,34.0,3: bachelor,4: active,2: 750-1500,1: yes,22.0,22,7: other,1: car,29,1: work,1: car,22.0,2: return home,1: car,,,,,,,5.0,8.0,5.0,8.0,17.0,20.0,,,,
119,1: male,22.0,2: high school,3: student,,0: no,21.0,21,7: other,7: walk,21,2: return home,7: walk,,,,,,,,,,8.0,11.0,29.0,32.0,,,,,,
120,0: feamale,53.0,3: bachelor,4: active,3: 1500-2500,0: no,21.0,1,1: work,3: bus,21,2: return home,3: bus,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
121,1: male,19.0,2: high school,3: student,1: 750 or less,1: yes,36.0,36,5: recreation,1: car,36,1: work,1: car,36.0,4: market,1: car,,,,,,,8.0,11.0,11.0,14.0,17.0,20.0,,,,
122,1: male,29.0,3: bachelor,3: student,0: no income,1: yes,1.0,15,3: education,3: bus,1,2: return home,3: bus,35.0,5: recreation,4: train,,,,,,,11.0,14.0,17.0,20.0,20.0,23.0,,,,
123,1: male,25.0,3: bachelor,4: active,2: 750-1500,1: yes,25.0,15,1: work,3: bus,25,2: return home,3: bus,,,,,,,,,,8.0,11.0,17.0,20.0,,,,,,
124,1: male,21.0,3: bachelor,3: student,1: 750 or less,1: yes,25.0,25,5: recreation,7: walk,28,5: recreation,4: train,,,,,,,,,,17.0,20.0,17.0,20.0,,,,,,
125,1: male,26.0,2: high school,3: student,0: no income,0: no,21.0,36,4: market,3: bus,36,5: recreation,3: bus,36.0,5: recreation,3: bus,36.0,5: recreation,3: bus,,,,14.0,17.0,17.0,20.0,20.0,23.0,23.0,29.0,,
126,1: male,18.0,3: bachelor,3: student,0: no income,1: yes,21.0,26,5: recreation,4: train,21,2: return home,4: train,,,,,,,,,,17.0,20.0,23.0,29.0,,,,,,
127,0: feamale,46.0,2: high school,4: active,2: 750-1500,0: no,1.0,1,1: work,7: walk,15,1: work,3: bus,,,,,,,,,,14.0,17.0,14.0,17.0,,,,,,
128,0: feamale,28.0,3: bachelor,4: active,2: 750-1500,0: no,2.0,7,3: education,3: bus,2,2: return home,3: bus,,,,,,,,,,17.0,20.0,20.0,23.0,,,,,,
129,0: feamale,18.0,3: bachelor,4: active,1: 750 or less,1: yes,20.0,21,1: work,4: train,21,1: work,1: car,13.0,5: recreation,1: car,,,,,,,8.0,11.0,8.0,11.0,17.0,20.0,,,,
130,1: male,28.0,2: high school,3: student,0: no income,1: yes,2.0,15,3: education,7: walk,2,2: return home,7: walk,,,,,,,,,,8.0,11.0,14.0,17.0,,,,,,
131,1: male,23.0,4: master or phd,4: active,3: 1500-2500,1: yes,20.0,22,1: work,4: train,20,5: recreation,7: walk,20.0,2: return home,4: train,,,,,,,8.0,11.0,20.0,23.0,41.0,44.0,,,,
132,0: feamale,22.0,3: bachelor,4: active,1: 750 or less,1: yes,35.0,15,1: work,4: train,1,3: education,4: train,35.0,2: return home,4: train,22.0,5: recreation,1: car,35.0,2: return home,1: car,8.0,11.0,14.0,17.0,20.0,23.0,20.0,23.0,23.0,29.0
133,0: feamale,28.0,3: bachelor,4: active,2: 750-1500,1: yes,1.0,5,3: education,4: train,1,2: return home,4: train,5.0,5: recreation,1: car,,,,,,,14.0,17.0,20.0,23.0,20.0,23.0,,,,
